pattern,replacement,comment
һпь,ʹpp,preaspirated palatalized
һкь,ʹkk,preaspirated palatalized
һтҍ,ʹtt,preaspirated half-palatalized
(бп|б|гк|г)ь,ʹ\1,palatalized geminates
(дт|д)ҍ,ʹ\1,half-palatalized geminate
(дт|д|т)ӓ,ʹ\1a,half-palatalized vowel a
(дт|д|т)ӭ,ʹ\1e,half-palatalized vowel e
(д|дд)ҍ,ʹ\1,half-palatalized C-cluster
бп,bb,geminate
гк,gg,geminate
дт,dd,geminate
(оа|оа̄|о̄а̄),å,
(\b|ъ|ь|ҍ)е̄,\1je,after a morpheme boundary
(\b|ъ|ь|ҍ)ё̄,\1jo,after a morpheme boundary
(\b|ъ|ь|ҍ)ӣ,1ji,after a morpheme boundary
(\b|ъ|ь|ҍ)ю̄,\1ju,after a morpheme boundary
(\b|ъ|ь|ҍ)я̄,\1ja,after a morpheme boundary
(\b|ъ|ь|ҍ)е,\1je,after a morpheme boundary
(\b|ъ|ь|ҍ)ё,\1jo,after a morpheme boundary
(\b|ъ|ь|ҍ)и,\1ji,after a morpheme boundary
(\b|ъ|ь|ҍ)ю,\1ju,after a morpheme boundary
(\b|ъ|ь|ҍ)я,\1ja,after a morpheme boundary
(е|е̄),ie,
(ё|ё̄),io,
(и|ӣ),ii,
(я|я̄),ea,
(ю|ю̄),iu,
(й|ј),j,
(л|ӆ),l,
(м|ӎ),m,
(н|ӊ),n,
(р|ҏ),r,
а̄,aa,
о̄,оо,
ӯ,uu,
а,a,
о,o,
у,u,
э̄,ee,
э,e,
б,b,
в,v,
г,g,
д,d,
ж,ž,
з,z,
к,k,
ӈ,ŋ,
п,p,
с,s,
т,t,
ф,f,
х,h,
ц,c,
ч,č,
ш,š,
щ,??,
ъ,??,
ы,õ,
ь,??,
ҍ,??,
\n,<br/>,
